DATETIME,TOTALDEMAND,Model forecast
2018-03-06 09:30:00,8051.25,6246.3804
2018-03-06 10:00:00,8062.84,9088.916
2018-03-06 10:30:00,8058.62,7354.4634
2018-03-06 11:00:00,7927.81,10687.624
2018-03-06 11:30:00,7696.73,8281.81
2018-03-06 12:00:00,7542.41,6920.828
2018-03-06 12:30:00,7545.31,7706.2383
2018-03-06 13:00:00,7476.74,6840.0654
2018-03-06 13:30:00,7484.85,7984.579
2018-03-06 14:00:00,7441.43,7572.687
2018-03-06 14:30:00,7525.19,7954.9624
2018-03-06 15:00:00,7624.61,9998.301
2018-03-06 15:30:00,7774.89,7148.2197
2018-03-06 16:00:00,8056.35,6087.5615
2018-03-06 16:30:00,8351.55,7613.544
2018-03-06 17:00:00,8747.36,8374.939
2018-03-06 17:30:00,9273.2,8294.7
2018-03-06 18:00:00,9723.19,7470.5405
2018-03-06 18:30:00,9715.31,6759.9634
2018-03-06 19:00:00,9619.87,6740.6265
2018-03-06 19:30:00,9377.34,11224.406
2018-03-06 20:00:00,9199.12,6238.6562
2018-03-06 20:30:00,9029.79,6102.616
2018-03-06 21:00:00,8804.35,8224.863
2018-03-06 21:30:00,8545.09,10805.174
2018-03-06 22:00:00,8301.2,7347.926
2018-03-06 22:30:00,8184.62,6704.253
2018-03-06 23:00:00,7890.2,8660.948
2018-03-06 23:30:00,7700.93,6480.086
2018-03-07 00:00:00,8711.96,6836.8037
2018-03-07 00:30:00,8506.82,7382.9
2018-03-07 01:00:00,8335.33,6506.79
2018-03-07 01:30:00,8095.18,8458.885
2018-03-07 02:00:00,7869.71,7090.5225
2018-03-07 02:30:00,7498.4,8723.275
2018-03-07 03:00:00,7298.23,7918.917
2018-03-07 03:30:00,7064.04,9867.888
2018-03-07 04:00:00,6994.78,10843.468
2018-03-07 04:30:00,6976.84,9178.095
2018-03-07 05:00:00,7119.8,7211.6562
2018-03-07 05:30:00,7499.64,8055.382
2018-03-07 06:00:00,7964.43,9642.137
2018-03-07 06:30:00,8754.85,7462.8286
2018-03-07 07:00:00,9606.78,6572.9897
2018-03-07 07:30:00,10088.09,10063.25
2018-03-07 08:00:00,10447.07,12611.326
2018-03-07 08:30:00,10414.96,7617.0874
2018-03-07 09:00:00,10052.69,7193.2246
2018-03-07 09:30:00,9860.3,7818.244
2018-03-07 10:00:00,9521.55,8458.975
2018-03-07 10:30:00,9437.05,8273.832
2018-03-07 11:00:00,9258.67,7572.344
2018-03-07 11:30:00,9054.06,8496.048
2018-03-07 12:00:00,8913.08,7179.256
2018-03-07 12:30:00,8751.24,8655.884
2018-03-07 13:00:00,8574.77,9425.397
2018-03-07 13:30:00,8527.06,6659.455
2018-03-07 14:00:00,8459.41,9472.638
2018-03-07 14:30:00,8467.89,6537.565
2018-03-07 15:00:00,8381.16,7897.4966
2018-03-07 15:30:00,8476.98,6958.101
2018-03-07 16:00:00,8739.34,9302.065
2018-03-07 16:30:00,9074.85,8485.913
2018-03-07 17:00:00,9656.94,5952.6606
2018-03-07 17:30:00,10387.9,7806.0767
2018-03-07 18:00:00,10968.2,8295.816
2018-03-07 18:30:00,11080.62,8314.236
