DATETIME,TOTALDEMAND,Model forecast
2018-03-06 09:30:00,8051.25,6497.985
2018-03-06 10:00:00,8062.84,7393.921
2018-03-06 10:30:00,8058.62,8549.027
2018-03-06 11:00:00,7927.81,9285.481
2018-03-06 11:30:00,7696.73,8258.132
2018-03-06 12:00:00,7542.41,7922.736
2018-03-06 12:30:00,7545.31,9492.845
2018-03-06 13:00:00,7476.74,6328.1294
2018-03-06 13:30:00,7484.85,9339.882
2018-03-06 14:00:00,7441.43,7275.5396
2018-03-06 14:30:00,7525.19,7256.378
2018-03-06 15:00:00,7624.61,8604.139
2018-03-06 15:30:00,7774.89,7222.6226
2018-03-06 16:00:00,8056.35,7443.2866
2018-03-06 16:30:00,8351.55,7969.314
2018-03-06 17:00:00,8747.36,7867.199
2018-03-06 17:30:00,9273.2,10568.844
2018-03-06 18:00:00,9723.19,7007.2393
2018-03-06 18:30:00,9715.31,9395.205
2018-03-06 19:00:00,9619.87,7802.2417
2018-03-06 19:30:00,9377.34,9365.24
2018-03-06 20:00:00,9199.12,8115.1924
2018-03-06 20:30:00,9029.79,7437.71
2018-03-06 21:00:00,8804.35,8741.386
2018-03-06 21:30:00,8545.09,5988.803
2018-03-06 22:00:00,8301.2,8762.473
2018-03-06 22:30:00,8184.62,7658.8633
2018-03-06 23:00:00,7890.2,8315.979
2018-03-06 23:30:00,7700.93,8654.704
2018-03-07 00:00:00,8711.96,8213.909
2018-03-07 00:30:00,8506.82,7494.37
2018-03-07 01:00:00,8335.33,7536.813
2018-03-07 01:30:00,8095.18,7130.726
2018-03-07 02:00:00,7869.71,9329.72
2018-03-07 02:30:00,7498.4,7754.314
2018-03-07 03:00:00,7298.23,6038.302
2018-03-07 03:30:00,7064.04,6965.5957
2018-03-07 04:00:00,6994.78,10210.353
2018-03-07 04:30:00,6976.84,7181.1636
2018-03-07 05:00:00,7119.8,8856.053
2018-03-07 05:30:00,7499.64,6871.685
2018-03-07 06:00:00,7964.43,7765.853
2018-03-07 06:30:00,8754.85,6644.174
2018-03-07 07:00:00,9606.78,7328.7817
2018-03-07 07:30:00,10088.09,8130.9175
2018-03-07 08:00:00,10447.07,8930.462
2018-03-07 08:30:00,10414.96,6935.3535
2018-03-07 09:00:00,10052.69,6292.832
2018-03-07 09:30:00,9860.3,6522.61
2018-03-07 10:00:00,9521.55,6870.9033
2018-03-07 10:30:00,9437.05,8568.548
2018-03-07 11:00:00,9258.67,8895.732
2018-03-07 11:30:00,9054.06,7412.3613
2018-03-07 12:00:00,8913.08,6320.9917
2018-03-07 12:30:00,8751.24,8964.473
2018-03-07 13:00:00,8574.77,7644.2793
2018-03-07 13:30:00,8527.06,6853.57
2018-03-07 14:00:00,8459.41,7618.1113
2018-03-07 14:30:00,8467.89,6666.408
2018-03-07 15:00:00,8381.16,7560.5044
2018-03-07 15:30:00,8476.98,7477.2866
2018-03-07 16:00:00,8739.34,10914.298
2018-03-07 16:30:00,9074.85,8751.362
2018-03-07 17:00:00,9656.94,6225.622
2018-03-07 17:30:00,10387.9,8890.219
2018-03-07 18:00:00,10968.2,7733.7524
2018-03-07 18:30:00,11080.62,7569.4106
2018-03-07 19:00:00,10975.77,6158.216
2018-03-07 19:30:00,10786.51,6447.5684
2018-03-07 20:00:00,10634.87,7466.6997
2018-03-07 20:30:00,10459.94,9975.556
2018-03-07 21:00:00,10167.36,9257.028
2018-03-07 21:30:00,9939.53,7173.3633
2018-03-07 22:00:00,9554.89,6459.452
2018-03-07 22:30:00,9398.08,7411.1353
2018-03-07 23:00:00,9039.01,6098.2
2018-03-07 23:30:00,8881.11,7706.9766
2018-03-08 00:00:00,8607.12,7935.335
2018-03-08 00:30:00,8372.38,7656.553
2018-03-08 01:00:00,8210.05,9582.07
2018-03-08 01:30:00,8028.39,7388.4814
2018-03-08 02:00:00,7817.56,7763.719
2018-03-08 02:30:00,7466.98,8510.225
2018-03-08 03:00:00,7171.55,8677.55
2018-03-08 03:30:00,7021.19,7716.6763
2018-03-08 04:00:00,6912.47,7811.4595
2018-03-08 04:30:00,6948.35,8149.387
2018-03-08 05:00:00,7033.22,6901.2217
2018-03-08 05:30:00,7371.4,11897.519
2018-03-08 06:00:00,7829.78,7203.851
2018-03-08 06:30:00,8589.83,7165.308
2018-03-08 07:00:00,9343.98,8109.4497
2018-03-08 07:30:00,9759.41,6346.036
2018-03-08 08:00:00,9978.08,7501.874
2018-03-08 08:30:00,9801.49,8019.7954
2018-03-08 09:00:00,9403.28,7349.4414
2018-03-08 09:30:00,9071.36,5828.0874
2018-03-08 10:00:00,8789.43,7412.4746
2018-03-08 10:30:00,8536.82,7254.2925
2018-03-08 11:00:00,8263.49,8200.401
2018-03-08 11:30:00,8080.67,10972.362
2018-03-08 12:00:00,7884.63,8293.8545
2018-03-08 14:30:00,7693.29,9099.914
2018-03-08 15:00:00,7717.56,8460.581
2018-03-08 15:30:00,7836.06,7153.32
2018-03-08 16:00:00,8067.96,7285.691
2018-03-08 16:30:00,8400.97,7565.3325
2018-03-08 17:00:00,8627.31,7304.9023
2018-03-08 17:30:00,9004.7,6743.42
2018-03-08 18:00:00,9543.06,9586.792
2018-03-08 18:30:00,9556.87,8322.809
2018-03-08 19:00:00,9498.11,6537.107
2018-03-08 19:30:00,9241.28,6942.473
2018-03-08 20:00:00,9055.41,6418.906
2018-03-08 20:30:00,8901.24,8016.9233
2018-03-08 21:00:00,8812.36,7780.333
2018-03-08 21:30:00,8699.14,6498.9883
2018-03-08 22:00:00,8445.75,8420.645
2018-03-08 22:30:00,8542.93,6522.921
2018-03-08 23:00:00,8328.42,7249.0435
2018-03-08 23:30:00,8214.85,8148.2524
2018-03-09 00:00:00,7715.95,9935.073
2018-03-09 00:30:00,7542.68,8078.008
2018-03-09 01:00:00,7330.65,6648.775
2018-03-09 01:30:00,7180.2,7660.969
2018-03-09 02:00:00,7034.98,10035.467
2018-03-09 02:30:00,6761.67,8588.825
2018-03-09 03:00:00,6611.67,7282.184
2018-03-09 03:30:00,6465.07,9053.35
2018-03-09 04:00:00,6436.05,8143.5767
2018-03-09 04:30:00,6495.45,7826.832
2018-03-09 05:00:00,6592.06,8040.5933
2018-03-09 05:30:00,6972.13,8779.254
2018-03-09 06:00:00,7433.06,9399.639
2018-03-09 06:30:00,8180.99,7561.917
2018-03-09 07:00:00,8913.62,8678.468
2018-03-09 07:30:00,9327.83,7512.761
2018-03-09 08:00:00,9555.79,9291.85
2018-03-09 08:30:00,9654.9,9950.254
2018-03-09 09:00:00,9399.93,8513.87
2018-03-09 09:30:00,9262.42,7738.786
2018-03-09 10:00:00,9091.52,7824.1924
2018-03-09 10:30:00,8954.94,7151.815
2018-03-09 11:00:00,8888.79,7235.7334
2018-03-09 11:30:00,8798.57,8363.7295
2018-03-09 12:00:00,8734.91,10341.945
2018-03-09 12:30:00,8712.21,8761.915
2018-03-09 13:00:00,8680.51,7146.0635
2018-03-09 13:30:00,8738.28,8428.868
2018-03-09 14:00:00,8777.22,7763.0015
2018-03-09 14:30:00,8834.31,6618.7573
2018-03-09 15:00:00,8850.64,6980.68
2018-03-09 15:30:00,8953.16,10099.317
2018-03-09 16:00:00,9189.03,7590.9053
2018-03-09 16:30:00,9475.41,8617.468
2018-03-09 17:00:00,9836.4,6542.047
2018-03-09 17:30:00,10264.42,6878.709
2018-03-09 18:00:00,10909.62,8368.938
2018-03-09 18:30:00,11177.11,8390.214
2018-03-09 19:00:00,11191.88,9562.824
2018-03-09 19:30:00,10872.47,8052.8037
2018-03-09 20:00:00,10586.36,7149.761
2018-03-09 20:30:00,10303.82,7392.9653
2018-03-09 21:00:00,10012.61,9229.45
2018-03-09 21:30:00,9676.04,8001.8013
2018-03-09 22:00:00,9308.87,7721.5757
2018-03-09 22:30:00,9133.14,7896.3853
2018-03-09 23:00:00,8791.33,7265.6855
2018-03-09 23:30:00,8528.79,9244.022
2018-03-10 00:00:00,7580.25,7783.1265
2018-03-10 00:30:00,7407.51,7142.51
2018-03-10 01:00:00,7257.18,6024.2
2018-03-10 01:30:00,7004.16,8993.484
2018-03-10 02:00:00,6839.43,10146.24
2018-03-10 02:30:00,6556.27,8475.705
2018-03-10 03:00:00,6315.84,7438.0874
2018-03-10 03:30:00,6167.8,8116.905
2018-03-10 04:00:00,6083.32,8171.956
2018-03-10 04:30:00,6094.98,9123.641
2018-03-10 05:00:00,6202.93,9750.146
2018-03-10 05:30:00,6455.46,7613.363
2018-03-10 06:00:00,6719.64,6442.8926
2018-03-10 06:30:00,7104.27,7220.817
2018-03-10 07:00:00,7460.3,8087.137
2018-03-10 07:30:00,7622.21,8243.225
2018-03-10 08:00:00,7653.33,8152.8022
2018-03-10 08:30:00,7730.14,6040.359
2018-03-10 09:00:00,7769.37,10711.475
2018-03-10 09:30:00,7804.35,6909.7695
2018-03-10 10:00:00,7727.98,8658.55
2018-03-10 10:30:00,7789.98,6524.356
2018-03-10 11:00:00,7669.97,7578.8516
2018-03-10 11:30:00,7726.03,6677.115
2018-03-10 12:00:00,7712.09,7263.5176
2018-03-10 12:30:00,7811.17,8244.846
2018-03-10 13:00:00,7734.87,7676.6616
2018-03-10 13:30:00,7866.52,6223.7983
2018-03-10 14:00:00,7939.57,8644.588
2018-03-10 14:30:00,7872.64,12625.428
2018-03-10 15:00:00,7888.74,8393.008
2018-03-10 15:30:00,8003.88,6901.831
2018-03-10 16:00:00,8125.29,7599.656
2018-03-10 16:30:00,8233.28,6701.571
2018-03-10 17:00:00,8371.27,9259.104
2018-03-10 17:30:00,8488.98,8878.075
2018-03-10 18:00:00,8735.6,7337.8076
2018-03-10 18:30:00,8891.29,6999.46
2018-03-10 19:00:00,8931.91,8665.494
2018-03-10 19:30:00,8684.18,6621.267
2018-03-10 20:00:00,8489.31,6894.345
2018-03-10 20:30:00,8330.44,7318.793
2018-03-10 21:00:00,8185.65,7770.6226
2018-03-10 21:30:00,8035.97,9458.246
2018-03-10 22:00:00,7818.75,6377.0786
2018-03-10 22:30:00,7840.01,6682.7466
2018-03-10 23:00:00,7676.24,6729.8833
2018-03-10 23:30:00,7579.77,6515.306
2018-03-11 00:00:00,7526.03,7488.491
2018-03-11 00:30:00,7239.34,10733.083
2018-03-11 01:00:00,7036.22,8446.91
2018-03-11 01:30:00,6760.05,6639.62
2018-03-11 02:00:00,6509.83,5929.5254
2018-03-11 02:30:00,6331.18,7346.2075
2018-03-11 03:00:00,6248.17,9160.491
2018-03-11 03:30:00,6185.67,8153.577
2018-03-11 04:00:00,6169.49,8898.112
2018-03-11 04:30:00,6262.43,7421.907
2018-03-11 05:00:00,6307.06,7709.6094
2018-03-11 05:30:00,6452.7,6559.1875
2018-03-11 06:00:00,6650.27,9512.469
2018-03-11 06:30:00,6885.85,6470.3604
2018-03-11 07:00:00,7150.35,8238.416
2018-03-11 07:30:00,7420.23,6753.6333
2018-03-11 08:00:00,7600.07,8123.1025
2018-03-11 08:30:00,7835.13,9439.892
2018-03-11 09:00:00,7944.86,6843.56
2018-03-11 09:30:00,8070.38,9270.348
2018-03-11 10:00:00,8068.66,6432.3823
2018-03-11 10:30:00,8156.96,7896.951
2018-03-11 11:00:00,8255.34,8922.681
2018-03-11 11:30:00,8219.59,7057.9443
2018-03-11 12:00:00,8380.33,9429.01
2018-03-11 12:30:00,8481.76,8682.694
2018-03-11 13:00:00,8573.41,8998.266
2018-03-11 13:30:00,8659.88,10489.064
2018-03-11 14:00:00,8846.11,6547.374
2018-03-11 14:30:00,8892.72,8916.721
2018-03-11 15:00:00,9053.8,7566.8364
2018-03-11 15:30:00,9062.12,7330.1035
2018-03-11 16:00:00,8974.42,6216.647
2018-03-11 16:30:00,8735.76,7769.8667
2018-03-11 17:00:00,8696.92,7406.07
2018-03-11 17:30:00,8596.72,8320.0205
2018-03-11 18:00:00,8495.41,10541.774
2018-03-11 18:30:00,8420.0,8203.743
2018-03-11 19:00:00,8394.44,8936.338
2018-03-11 19:30:00,8363.88,7915.6504
2018-03-11 20:00:00,8081.99,9871.334
2018-03-11 20:30:00,8012.04,7413.2344
2018-03-11 21:00:00,7766.99,7539.052
2018-03-11 21:30:00,7659.42,7946.162
2018-03-11 22:00:00,7536.55,7320.9854
2018-03-11 22:30:00,7566.1,6459.499
2018-03-11 23:00:00,7360.29,10070.722
2018-03-11 23:30:00,7126.11,6026.7715
