"month","day","rise","rise_day","set","set_day"
"1","1","0456","SAME","1847","SAME"
"1","2","0457","SAME","1847","SAME"
"1","3","0457","SAME","1847","SAME"
"1","4","0458","SAME","1848","SAME"
"1","5","0459","SAME","1848","SAME"
"1","6","0500","SAME","1848","SAME"
"1","7","0500","SAME","1848","SAME"
"1","8","0501","SAME","1848","SAME"
"1","9","0502","SAME","1848","SAME"
"1","10","0503","SAME","1848","SAME"
"1","11","0503","SAME","1848","SAME"
"1","12","0504","SAME","1848","SAME"
"1","13","0505","SAME","1848","SAME"
"1","14","0506","SAME","1848","SAME"
"1","15","0507","SAME","1848","SAME"
"1","16","0507","SAME","1848","SAME"
"1","17","0508","SAME","1848","SAME"
"1","18","0509","SAME","1848","SAME"
"1","19","0510","SAME","1847","SAME"
"1","20","0511","SAME","1847","SAME"
"1","21","0511","SAME","1847","SAME"
"1","22","0512","SAME","1847","SAME"
"1","23","0513","SAME","1846","SAME"
"1","24","0514","SAME","1846","SAME"
"1","25","0515","SAME","1846","SAME"
"1","26","0516","SAME","1845","SAME"
"1","27","0516","SAME","1845","SAME"
"1","28","0517","SAME","1845","SAME"
"1","29","0518","SAME","1844","SAME"
"1","30","0519","SAME","1844","SAME"
"1","31","0520","SAME","1843","SAME"
"2","1","0520","SAME","1843","SAME"
"2","2","0521","SAME","1842","SAME"
"2","3","0522","SAME","1842","SAME"
"2","4","0523","SAME","1841","SAME"
"2","5","0524","SAME","1840","SAME"
"2","6","0524","SAME","1840","SAME"
"2","7","0525","SAME","1839","SAME"
"2","8","0526","SAME","1838","SAME"
"2","9","0527","SAME","1838","SAME"
"2","10","0527","SAME","1837","SAME"
"2","11","0528","SAME","1836","SAME"
"2","12","0529","SAME","1836","SAME"
"2","13","0530","SAME","1835","SAME"
"2","14","0530","SAME","1834","SAME"
"2","15","0531","SAME","1833","SAME"
"2","16","0532","SAME","1832","SAME"
"2","17","0533","SAME","1832","SAME"
"2","18","0533","SAME","1831","SAME"
"2","19","0534","SAME","1830","SAME"
"2","20","0535","SAME","1829","SAME"
"2","21","0535","SAME","1828","SAME"
"2","22","0536","SAME","1827","SAME"
"2","23","0537","SAME","1826","SAME"
"2","24","0537","SAME","1825","SAME"
"2","25","0538","SAME","1824","SAME"
"2","26","0539","SAME","1823","SAME"
"2","27","0539","SAME","1822","SAME"
"2","28","0540","SAME","1821","SAME"
"3","1","0541","SAME","1820","SAME"
"3","2","0541","SAME","1819","SAME"
"3","3","0542","SAME","1818","SAME"
"3","4","0542","SAME","1817","SAME"
"3","5","0543","SAME","1816","SAME"
"3","6","0544","SAME","1815","SAME"
"3","7","0544","SAME","1814","SAME"
"3","8","0545","SAME","1813","SAME"
"3","9","0545","SAME","1812","SAME"
"3","10","0546","SAME","1811","SAME"
"3","11","0546","SAME","1810","SAME"
"3","12","0547","SAME","1809","SAME"
"3","13","0548","SAME","1808","SAME"
"3","14","0548","SAME","1807","SAME"
"3","15","0549","SAME","1806","SAME"
"3","16","0549","SAME","1804","SAME"
"3","17","0550","SAME","1803","SAME"
"3","18","0550","SAME","1802","SAME"
"3","19","0551","SAME","1801","SAME"
"3","20","0551","SAME","1800","SAME"
"3","21","0552","SAME","1759","SAME"
"3","22","0552","SAME","1758","SAME"
"3","23","0553","SAME","1757","SAME"
"3","24","0553","SAME","1755","SAME"
"3","25","0554","SAME","1754","SAME"
"3","26","0555","SAME","1753","SAME"
"3","27","0555","SAME","1752","SAME"
"3","28","0556","SAME","1751","SAME"
"3","29","0556","SAME","1750","SAME"
"3","30","0557","SAME","1749","SAME"
"3","31","0557","SAME","1748","SAME"
"4","1","0558","SAME","1747","SAME"
"4","2","0558","SAME","1745","SAME"
"4","3","0559","SAME","1744","SAME"
"4","4","0559","SAME","1743","SAME"
"4","5","0600","SAME","1742","SAME"
"4","6","0600","SAME","1741","SAME"
"4","7","0601","SAME","1740","SAME"
"4","8","0601","SAME","1739","SAME"
"4","9","0602","SAME","1738","SAME"
"4","10","0602","SAME","1737","SAME"
"4","11","0603","SAME","1736","SAME"
"4","12","0603","SAME","1735","SAME"
"4","13","0604","SAME","1734","SAME"
"4","14","0604","SAME","1733","SAME"
"4","15","0605","SAME","1732","SAME"
"4","16","0605","SAME","1731","SAME"
"4","17","0606","SAME","1730","SAME"
"4","18","0606","SAME","1729","SAME"
"4","19","0607","SAME","1728","SAME"
"4","20","0607","SAME","1727","SAME"
"4","21","0608","SAME","1726","SAME"
"4","22","0609","SAME","1725","SAME"
"4","23","0609","SAME","1724","SAME"
"4","24","0610","SAME","1723","SAME"
"4","25","0610","SAME","1722","SAME"
"4","26","0611","SAME","1721","SAME"
"4","27","0611","SAME","1720","SAME"
"4","28","0612","SAME","1719","SAME"
"4","29","0612","SAME","1719","SAME"
"4","30","0613","SAME","1718","SAME"
"5","1","0613","SAME","1717","SAME"
"5","2","0614","SAME","1716","SAME"
"5","3","0615","SAME","1715","SAME"
"5","4","0615","SAME","1715","SAME"
"5","5","0616","SAME","1714","SAME"
"5","6","0616","SAME","1713","SAME"
"5","7","0617","SAME","1712","SAME"
"5","8","0617","SAME","1712","SAME"
"5","9","0618","SAME","1711","SAME"
"5","10","0619","SAME","1710","SAME"
"5","11","0619","SAME","1710","SAME"
"5","12","0620","SAME","1709","SAME"
"5","13","0620","SAME","1709","SAME"
"5","14","0621","SAME","1708","SAME"
"5","15","0621","SAME","1707","SAME"
"5","16","0622","SAME","1707","SAME"
"5","17","0622","SAME","1706","SAME"
"5","18","0623","SAME","1706","SAME"
"5","19","0624","SAME","1705","SAME"
"5","20","0624","SAME","1705","SAME"
"5","21","0625","SAME","1705","SAME"
"5","22","0625","SAME","1704","SAME"
"5","23","0626","SAME","1704","SAME"
"5","24","0626","SAME","1703","SAME"
"5","25","0627","SAME","1703","SAME"
"5","26","0627","SAME","1703","SAME"
"5","27","0628","SAME","1702","SAME"
"5","28","0628","SAME","1702","SAME"
"5","29","0629","SAME","1702","SAME"
"5","30","0629","SAME","1702","SAME"
"5","31","0630","SAME","1701","SAME"
"6","1","0630","SAME","1701","SAME"
"6","2","0631","SAME","1701","SAME"
"6","3","0631","SAME","1701","SAME"
"6","4","0632","SAME","1701","SAME"
"6","5","0632","SAME","1701","SAME"
"6","6","0633","SAME","1701","SAME"
"6","7","0633","SAME","1700","SAME"
"6","8","0634","SAME","1700","SAME"
"6","9","0634","SAME","1700","SAME"
"6","10","0634","SAME","1700","SAME"
"6","11","0635","SAME","1700","SAME"
"6","12","0635","SAME","1700","SAME"
"6","13","0636","SAME","1700","SAME"
"6","14","0636","SAME","1701","SAME"
"6","15","0636","SAME","1701","SAME"
"6","16","0637","SAME","1701","SAME"
"6","17","0637","SAME","1701","SAME"
"6","18","0637","SAME","1701","SAME"
"6","19","0637","SAME","1701","SAME"
"6","20","0638","SAME","1701","SAME"
"6","21","0638","SAME","1702","SAME"
"6","22","0638","SAME","1702","SAME"
"6","23","0638","SAME","1702","SAME"
"6","24","0638","SAME","1702","SAME"
"6","25","0639","SAME","1703","SAME"
"6","26","0639","SAME","1703","SAME"
"6","27","0639","SAME","1703","SAME"
"6","28","0639","SAME","1703","SAME"
"6","29","0639","SAME","1704","SAME"
"6","30","0639","SAME","1704","SAME"
"7","1","0639","SAME","1704","SAME"
"7","2","0639","SAME","1705","SAME"
"7","3","0639","SAME","1705","SAME"
"7","4","0639","SAME","1706","SAME"
"7","5","0639","SAME","1706","SAME"
"7","6","0639","SAME","1706","SAME"
"7","7","0639","SAME","1707","SAME"
"7","8","0639","SAME","1707","SAME"
"7","9","0639","SAME","1708","SAME"
"7","10","0639","SAME","1708","SAME"
"7","11","0638","SAME","1709","SAME"
"7","12","0638","SAME","1709","SAME"
"7","13","0638","SAME","1710","SAME"
"7","14","0638","SAME","1710","SAME"
"7","15","0637","SAME","1710","SAME"
"7","16","0637","SAME","1711","SAME"
"7","17","0637","SAME","1711","SAME"
"7","18","0637","SAME","1712","SAME"
"7","19","0636","SAME","1712","SAME"
"7","20","0636","SAME","1713","SAME"
"7","21","0635","SAME","1713","SAME"
"7","22","0635","SAME","1714","SAME"
"7","23","0635","SAME","1714","SAME"
"7","24","0634","SAME","1715","SAME"
"7","25","0634","SAME","1716","SAME"
"7","26","0633","SAME","1716","SAME"
"7","27","0633","SAME","1717","SAME"
"7","28","0632","SAME","1717","SAME"
"7","29","0631","SAME","1718","SAME"
"7","30","0631","SAME","1718","SAME"
"7","31","0630","SAME","1719","SAME"
"8","1","0630","SAME","1719","SAME"
"8","2","0629","SAME","1720","SAME"
"8","3","0628","SAME","1720","SAME"
"8","4","0628","SAME","1721","SAME"
"8","5","0627","SAME","1721","SAME"
"8","6","0626","SAME","1722","SAME"
"8","7","0625","SAME","1722","SAME"
"8","8","0625","SAME","1723","SAME"
"8","9","0624","SAME","1723","SAME"
"8","10","0623","SAME","1724","SAME"
"8","11","0622","SAME","1724","SAME"
"8","12","0621","SAME","1725","SAME"
"8","13","0621","SAME","1725","SAME"
"8","14","0620","SAME","1726","SAME"
"8","15","0619","SAME","1726","SAME"
"8","16","0618","SAME","1727","SAME"
"8","17","0617","SAME","1727","SAME"
"8","18","0616","SAME","1728","SAME"
"8","19","0615","SAME","1728","SAME"
"8","20","0614","SAME","1729","SAME"
"8","21","0613","SAME","1729","SAME"
"8","22","0612","SAME","1730","SAME"
"8","23","0611","SAME","1730","SAME"
"8","24","0610","SAME","1731","SAME"
"8","25","0609","SAME","1731","SAME"
"8","26","0608","SAME","1732","SAME"
"8","27","0607","SAME","1732","SAME"
"8","28","0606","SAME","1733","SAME"
"8","29","0605","SAME","1733","SAME"
"8","30","0604","SAME","1733","SAME"
"8","31","0603","SAME","1734","SAME"
"9","1","0602","SAME","1734","SAME"
"9","2","0601","SAME","1735","SAME"
"9","3","0600","SAME","1735","SAME"
"9","4","0559","SAME","1736","SAME"
"9","5","0558","SAME","1736","SAME"
"9","6","0556","SAME","1737","SAME"
"9","7","0555","SAME","1737","SAME"
"9","8","0554","SAME","1738","SAME"
"9","9","0553","SAME","1738","SAME"
"9","10","0552","SAME","1738","SAME"
"9","11","0551","SAME","1739","SAME"
"9","12","0550","SAME","1739","SAME"
"9","13","0549","SAME","1740","SAME"
"9","14","0547","SAME","1740","SAME"
"9","15","0546","SAME","1741","SAME"
"9","16","0545","SAME","1741","SAME"
"9","17","0544","SAME","1742","SAME"
"9","18","0543","SAME","1742","SAME"
"9","19","0542","SAME","1743","SAME"
"9","20","0540","SAME","1743","SAME"
"9","21","0539","SAME","1743","SAME"
"9","22","0538","SAME","1744","SAME"
"9","23","0537","SAME","1744","SAME"
"9","24","0536","SAME","1745","SAME"
"9","25","0535","SAME","1745","SAME"
"9","26","0533","SAME","1746","SAME"
"9","27","0532","SAME","1746","SAME"
"9","28","0531","SAME","1747","SAME"
"9","29","0530","SAME","1747","SAME"
"9","30","0529","SAME","1748","SAME"
"10","1","0528","SAME","1748","SAME"
"10","2","0527","SAME","1749","SAME"
"10","3","0525","SAME","1749","SAME"
"10","4","0524","SAME","1750","SAME"
"10","5","0523","SAME","1750","SAME"
"10","6","0522","SAME","1751","SAME"
"10","7","0521","SAME","1751","SAME"
"10","8","0520","SAME","1752","SAME"
"10","9","0519","SAME","1752","SAME"
"10","10","0518","SAME","1753","SAME"
"10","11","0517","SAME","1753","SAME"
"10","12","0516","SAME","1754","SAME"
"10","13","0515","SAME","1754","SAME"
"10","14","0513","SAME","1755","SAME"
"10","15","0512","SAME","1756","SAME"
"10","16","0511","SAME","1756","SAME"
"10","17","0510","SAME","1757","SAME"
"10","18","0509","SAME","1757","SAME"
"10","19","0508","SAME","1758","SAME"
"10","20","0507","SAME","1758","SAME"
"10","21","0507","SAME","1759","SAME"
"10","22","0506","SAME","1800","SAME"
"10","23","0505","SAME","1800","SAME"
"10","24","0504","SAME","1801","SAME"
"10","25","0503","SAME","1802","SAME"
"10","26","0502","SAME","1802","SAME"
"10","27","0501","SAME","1803","SAME"
"10","28","0500","SAME","1804","SAME"
"10","29","0459","SAME","1804","SAME"
"10","30","0459","SAME","1805","SAME"
"10","31","0458","SAME","1806","SAME"
"11","1","0457","SAME","1806","SAME"
"11","2","0456","SAME","1807","SAME"
"11","3","0456","SAME","1808","SAME"
"11","4","0455","SAME","1808","SAME"
"11","5","0454","SAME","1809","SAME"
"11","6","0454","SAME","1810","SAME"
"11","7","0453","SAME","1811","SAME"
"11","8","0452","SAME","1811","SAME"
"11","9","0452","SAME","1812","SAME"
"11","10","0451","SAME","1813","SAME"
"11","11","0451","SAME","1814","SAME"
"11","12","0450","SAME","1814","SAME"
"11","13","0449","SAME","1815","SAME"
"11","14","0449","SAME","1816","SAME"
"11","15","0449","SAME","1817","SAME"
"11","16","0448","SAME","1817","SAME"
"11","17","0448","SAME","1818","SAME"
"11","18","0447","SAME","1819","SAME"
"11","19","0447","SAME","1820","SAME"
