"month","day","rise","rise_day","set","set_day"
"1","1","0501","SAME","1945","SAME"
"1","2","0502","SAME","1945","SAME"
"1","3","0503","SAME","1946","SAME"
"1","4","0504","SAME","1946","SAME"
"1","5","0505","SAME","1946","SAME"
"1","6","0506","SAME","1946","SAME"
"1","7","0506","SAME","1946","SAME"
"1","8","0507","SAME","1946","SAME"
"1","9","0508","SAME","1946","SAME"
"1","10","0509","SAME","1945","SAME"
"1","11","0510","SAME","1945","SAME"
"1","12","0511","SAME","1945","SAME"
"1","13","0512","SAME","1945","SAME"
"1","14","0513","SAME","1944","SAME"
"1","15","0514","SAME","1944","SAME"
"1","16","0515","SAME","1944","SAME"
"1","17","0516","SAME","1943","SAME"
"1","18","0518","SAME","1943","SAME"
"1","19","0519","SAME","1943","SAME"
"1","20","0520","SAME","1942","SAME"
"1","21","0521","SAME","1942","SAME"
"1","22","0522","SAME","1941","SAME"
"1","23","0523","SAME","1940","SAME"
"1","24","0524","SAME","1940","SAME"
"1","25","0525","SAME","1939","SAME"
"1","26","0526","SAME","1938","SAME"
"1","27","0528","SAME","1938","SAME"
"1","28","0529","SAME","1937","SAME"
"1","29","0530","SAME","1936","SAME"
"1","30","0531","SAME","1936","SAME"
"1","31","0532","SAME","1935","SAME"
"2","1","0533","SAME","1934","SAME"
"2","2","0534","SAME","1933","SAME"
"2","3","0536","SAME","1932","SAME"
"2","4","0537","SAME","1931","SAME"
"2","5","0538","SAME","1930","SAME"
"2","6","0539","SAME","1929","SAME"
"2","7","0540","SAME","1928","SAME"
"2","8","0541","SAME","1927","SAME"
"2","9","0542","SAME","1926","SAME"
"2","10","0543","SAME","1925","SAME"
"2","11","0545","SAME","1924","SAME"
"2","12","0546","SAME","1923","SAME"
"2","13","0547","SAME","1922","SAME"
"2","14","0548","SAME","1921","SAME"
"2","15","0549","SAME","1919","SAME"
"2","16","0550","SAME","1918","SAME"
"2","17","0551","SAME","1917","SAME"
"2","18","0552","SAME","1916","SAME"
"2","19","0553","SAME","1914","SAME"
"2","20","0555","SAME","1913","SAME"
"2","21","0556","SAME","1912","SAME"
"2","22","0557","SAME","1911","SAME"
"2","23","0558","SAME","1909","SAME"
"2","24","0559","SAME","1908","SAME"
"2","25","0600","SAME","1907","SAME"
