I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",NSW1,965.148,1,MEASUREMENT,"2022/02/19 16:19:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",QLD1,1386.727,1,MEASUREMENT,"2022/02/19 16:19:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",QLDC,172.687,1,MEASUREMENT,"2022/02/19 16:19:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",QLDN,288.803,1,MEASUREMENT,"2022/02/19 16:19:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",QLDS,925.238,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",SA1,1019.983,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",TAS1,105.441,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",TASN,59.39,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",TASS,46.081,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:00:00",VIC1,1627.648,1,MEASUREMENT,"2022/02/19 16:19:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",NSW1,780.176,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",QLD1,995.293,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",QLDC,134.586,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",QLDN,214.861,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",QLDS,645.846,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",SA1,895.552,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",TAS1,85.861,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",TASN,49.655,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",TASS,36.242,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 16:30:00",VIC1,1377.788,1,MEASUREMENT,"2022/02/19 16:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",NSW1,573.914,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",QLD1,766.476,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",QLDC,97.615,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",QLDN,160.083,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",QLDS,508.778,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",SA1,749.905,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",TAS1,65.402,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",TASN,37.231,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",TASS,28.193,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:00:00",VIC1,1089.626,1,MEASUREMENT,"2022/02/19 17:19:41"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",NSW1,362.636,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",QLD1,431.705,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",QLDC,59.463,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",QLDN,105.28,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",QLDS,266.962,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",SA1,583.031,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",TAS1,38.972,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",TASN,23.509,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",TASS,15.488,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 17:30:00",VIC1,779.342,1,MEASUREMENT,"2022/02/19 17:49:39"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",NSW1,0,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",QLD1,0,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",QLDC,0,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",QLDN,0,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",QLDS,0,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",SA1,25.09,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",TAS1,0.129,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",TASN,0.107,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",TASS,0.023,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 19:30:00",VIC1,3.511,1,MEASUREMENT,"2022/02/19 19:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",NSW1,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLD1,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDC,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDN,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDS,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",SA1,0.079,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TAS1,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TASN,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TASS,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",VIC1,0,1,MEASUREMENT,"2022/02/19 20:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",NSW1,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLD1,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDC,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDN,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDS,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",SA1,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TAS1,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TASN,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TASS,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",VIC1,0,1,MEASUREMENT,"2022/02/19 20:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",NSW1,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLD1,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDC,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDN,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDS,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",SA1,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",TAS1,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",TASN,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",TASS,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",VIC1,0,1,MEASUREMENT,"2022/02/19 21:19:47"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",NSW1,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",QLD1,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",QLDC,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",QLDN,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",QLDS,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",SA1,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",TAS1,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",TASN,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",TASS,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:30:00",VIC1,0,1,MEASUREMENT,"2022/02/19 21:49:40"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",NSW1,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLD1,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDC,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDN,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDS,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",SA1,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TAS1,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TASN,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TASS,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",VIC1,0,1,MEASUREMENT,"2022/02/19 22:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",NSW1,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLD1,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDC,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDN,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDS,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",SA1,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TAS1,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TASN,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TASS,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",VIC1,0,1,MEASUREMENT,"2022/02/20 03:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",NSW1,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLD1,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDC,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDN,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDS,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",SA1,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TAS1,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TASN,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TASS,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",VIC1,0,1,MEASUREMENT,"2022/02/20 03:49:38"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",NSW1,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLD1,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDC,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDN,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDS,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",SA1,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",TAS1,0,1,MEASUREMENT,"2022/02/20 04:19:43"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",TASN,0,1,MEASUREMENT,"2022/02/20 04:19:43"
