I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",NSW1,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLD1,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDC,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDN,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",QLDS,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",SA1,0.09,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TAS1,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TASN,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",TASS,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:00:00",VIC1,0,0.6,SATELLITE,"2022/02/19 20:20:23"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",NSW1,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLD1,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDC,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDN,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",QLDS,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",SA1,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TAS1,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TASN,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",TASS,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 20:30:00",VIC1,0,0.6,SATELLITE,"2022/02/19 20:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",NSW1,0,0.6,SATELLITE,"2022/02/19 21:20:32"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLD1,0,0.6,SATELLITE,"2022/02/19 21:20:32"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDC,0,0.6,SATELLITE,"2022/02/19 21:20:32"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDN,0,0.6,SATELLITE,"2022/02/19 21:20:32"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",QLDS,0,0.6,SATELLITE,"2022/02/19 21:20:33"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",SA1,0,0.6,SATELLITE,"2022/02/19 21:20:33"
D,ROOFTOP,ACTUAL,2,"2022/02/19 21:00:00",TAS1,0,0.6,SATELLITE,"2022/02/19 21:20:33"
