INTERVAL_DATETIME,REGIONID,POWER
2018-03-06,NSW1,623.553
2018-03-06,QLD1,511.013
2018-03-06,SA1,604.644
2018-03-06,TAS1,84.22
2018-03-06,VIC1,851.025
2018-03-07,NSW1,840.96
2018-03-07,QLD1,740.984
2018-03-07,SA1,534.001
2018-03-07,TAS1,80.371
2018-03-07,VIC1,821.761
2018-03-08,NSW1,733.527
2018-03-08,QLD1,907.659
2018-03-08,SA1,520.865
2018-03-08,TAS1,71.637
2018-03-08,VIC1,802.845
2018-03-09,NSW1,803.76
2018-03-09,QLD1,900.722
2018-03-09,SA1,571.009
2018-03-09,TAS1,80.105
2018-03-09,VIC1,820.887
2018-03-10,NSW1,817.08
2018-03-10,QLD1,989.559
2018-03-10,SA1,559.489
2018-03-10,TAS1,79.159
2018-03-10,VIC1,805.642
2018-03-11,NSW1,924.673
2018-03-11,QLD1,934.132
2018-03-11,SA1,546.46
2018-03-11,TAS1,81.665
2018-03-11,VIC1,714.7
2018-03-12,NSW1,892.201
2018-03-12,QLD1,1167.771
2018-03-12,SA1,582.066
2018-03-12,TAS1,64.811
2018-03-12,VIC1,579.341
2018-03-13,NSW1,449.929
2018-03-13,QLD1,848.59
2018-03-13,SA1,537.121
2018-03-13,TAS1,72.57
2018-03-13,VIC1,690.166
2018-03-14,NSW1,800.06
2018-03-14,QLD1,1194.178
2018-03-14,SA1,570.762
2018-03-14,TAS1,53.85
2018-03-14,VIC1,762.402
2018-03-15,NSW1,946.465
2018-03-15,QLD1,1207.441
2018-03-15,SA1,532.614
2018-03-15,TAS1,55.228
2018-03-15,VIC1,539.187
2018-03-16,NSW1,749.074
2018-03-16,QLD1,1325.394
2018-03-16,SA1,285.84
2018-03-16,TAS1,48.719
2018-03-16,VIC1,667.646
2018-03-17,NSW1,939.386
2018-03-17,QLD1,1303.898
2018-03-17,SA1,150.622
2018-03-17,TAS1,76.129
2018-03-17,VIC1,674.798
2018-03-18,NSW1,913.475
2018-03-18,QLD1,1097.008
2018-03-18,SA1,556.215
2018-03-18,TAS1,62.406
2018-03-18,VIC1,809.116
2018-03-19,NSW1,956.177
2018-03-19,QLD1,1175.377
2018-03-19,SA1,347.366
2018-03-19,TAS1,52.359
2018-03-19,VIC1,795.943
2018-03-20,NSW1,884.299
2018-03-20,QLD1,1193.854
2018-03-20,SA1,484.768
2018-03-20,TAS1,76.928
2018-03-20,VIC1,470.724
2018-03-21,NSW1,0.0
2018-03-21,QLD1,0.0
2018-03-21,SA1,0.0
2018-03-21,TAS1,0.0
2018-03-21,VIC1,0.0
2018-03-22,NSW1,550.225
2018-03-22,QLD1,1013.439
2018-03-22,SA1,527.014
2018-03-22,TAS1,37.82
2018-03-22,VIC1,782.712
2018-03-23,NSW1,486.19
2018-03-23,QLD1,948.836
2018-03-23,SA1,530.057
2018-03-23,TAS1,43.764
2018-03-23,VIC1,782.758
2018-03-24,NSW1,751.582
2018-03-24,QLD1,837.703
2018-03-24,SA1,516.659
2018-03-24,TAS1,24.899
2018-03-24,VIC1,469.335
2018-03-25,NSW1,772.342
2018-03-25,QLD1,787.346
2018-03-25,SA1,404.561
2018-03-25,TAS1,64.523
2018-03-25,VIC1,702.979
2018-03-26,NSW1,939.779
2018-03-26,QLD1,830.744
2018-03-26,SA1,432.698
2018-03-26,TAS1,54.008
2018-03-26,VIC1,470.598
2018-03-27,NSW1,809.31
2018-03-27,QLD1,759.828
2018-03-27,SA1,518.649
2018-03-27,TAS1,60.009
2018-03-27,VIC1,586.56
2018-03-28,NSW1,909.167
2018-03-28,QLD1,1130.228
2018-03-28,SA1,499.447
2018-03-28,TAS1,57.509
2018-03-28,VIC1,785.701
2018-03-29,NSW1,847.355
2018-03-29,QLD1,869.595
2018-03-29,SA1,537.943
2018-03-29,TAS1,60.814
2018-03-29,VIC1,744.342
2018-03-30,NSW1,871.475
2018-03-30,QLD1,901.3
2018-03-30,SA1,456.572
2018-03-30,TAS1,76.803
2018-03-30,VIC1,703.12
2018-03-31,NSW1,712.308
2018-03-31,QLD1,1049.906
2018-03-31,SA1,538.567
2018-03-31,TAS1,74.142
2018-03-31,VIC1,787.138
2018-04-01,NSW1,866.88
2018-04-01,QLD1,998.817
2018-04-01,SA1,435.488
2018-04-01,TAS1,40.369
2018-04-01,VIC1,601.443
2018-04-02,NSW1,775.57
2018-04-02,QLD1,1019.187
2018-04-02,SA1,538.417
2018-04-02,TAS1,64.06
2018-04-02,VIC1,648.157
2018-04-03,NSW1,611.674
2018-04-03,QLD1,1015.218
2018-04-03,SA1,535.003
2018-04-03,TAS1,69.196
2018-04-03,VIC1,596.168
2018-04-04,NSW1,738.777
2018-04-04,QLD1,680.968
2018-04-04,SA1,530.101
2018-04-04,TAS1,73.793
2018-04-04,VIC1,759.839
2018-04-05,NSW1,870.296
2018-04-05,QLD1,1007.962
